time_period,scenario,series_name,average_normalised_score,average_normalised_score_p05,average_normalised_score_p95,routes_used,characteristics_used
44,nuclear,nuclear_avg,0.724130,0.610725,0.810091,3,8
44,fusion,fusion_avg,0.748800,0.461808,0.833737,3,8
45,solar,solar_avg,0.549922,0.391210,0.670445,3,8
45,nuclear,nuclear_avg,0.724236,0.611782,0.817166,3,8
45,fusion,fusion_avg,0.749154,0.453282,0.841506,3,8
46,solar,solar_avg,0.545337,0.412869,0.662769,3,8
46,nuclear,nuclear_avg,0.719319,0.510462,0.810641,3,8
46,fusion,fusion_avg,0.745591,0.468193,0.834662,3,8
47,solar,solar_avg,0.548094,0.389443,0.665061,3,8
47,nuclear,nuclear_avg,0.720675,0.486275,0.812127,3,8
47,fusion,fusion_avg,0.746628,0.458222,0.838260,3,8
48,solar,solar_avg,0.545539,0.419661,0.642038,3,8
48,nuclear,nuclear_avg,0.699218,0.492701,0.782998,3,8
48,fusion,fusion_avg,0.725311,0.474895,0.807726,3,8
49,solar,solar_avg,0.546064,0.403844,0.643459,3,8
49,nuclear,nuclear_avg,0.696473,0.462547,0.783259,3,8
49,fusion,fusion_avg,0.723312,0.443993,0.808699,3,8
50,solar,solar_avg,0.545972,0.386082,0.671493,3,8
50,nuclear,nuclear_avg,0.716201,0.420125,0.815482,3,8
50,fusion,fusion_avg,0.743601,0.427752,0.840713,3,8
51,solar,solar_avg,0.544782,0.380468,0.674768,3,8
51,nuclear,nuclear_avg,0.716932,0.462148,0.820838,3,8
51,fusion,fusion_avg,0.742124,0.422973,0.844620,3,8
52,solar,solar_avg,0.547581,0.414839,0.662583,3,8
52,nuclear,nuclear_avg,0.721928,0.451341,0.811303,3,8
52,fusion,fusion_avg,0.745764,0.441099,0.835771,3,8
53,solar,solar_avg,0.547861,0.386228,0.666063,3,8
53,nuclear,nuclear_avg,0.719606,0.459441,0.812659,3,8
53,fusion,fusion_avg,0.747416,0.421663,0.838187,3,8
54,solar,solar_avg,0.545042,0.396020,0.662513,3,8
54,nuclear,nuclear_avg,0.720331,0.471177,0.809391,3,8
54,fusion,fusion_avg,0.746939,0.429647,0.835508,3,8
55,solar,solar_avg,0.545071,0.414832,0.641078,3,8
55,nuclear,nuclear_avg,0.694686,0.427325,0.779723,3,8
55,fusion,fusion_avg,0.721224,0.446937,0.805929,3,8
56,solar,solar_avg,0.544405,0.419940,0.648389,3,8
56,nuclear,nuclear_avg,0.694655,0.460954,0.786796,3,8
56,fusion,fusion_avg,0.721250,0.451492,0.811603,3,8
57,solar,solar_avg,0.546519,0.382774,0.682342,3,8
57,nuclear,nuclear_avg,0.720797,0.462733,0.826312,3,8
57,fusion,fusion_avg,0.745952,0.439233,0.850983,3,8
58,solar,solar_avg,0.548350,0.421341,0.666432,3,8
58,nuclear,nuclear_avg,0.720918,0.482341,0.811759,3,8
58,fusion,fusion_avg,0.748960,0.463134,0.837594,3,8
59,solar,solar_avg,0.543894,0.379165,0.676625,3,8
59,nuclear,nuclear_avg,0.718448,0.461934,0.823096,3,8
59,fusion,fusion_avg,0.743294,0.443846,0.848649,3,8
60,solar,solar_avg,0.613600,0.505297,0.705526,3,8
60,nuclear,nuclear_avg,0.723929,0.474572,0.807376,3,8
60,fusion,fusion_avg,0.750708,0.465796,0.832038,3,8
61,solar,solar_avg,0.610590,0.510774,0.714094,3,8
61,nuclear,nuclear_avg,0.718869,0.438461,0.814485,3,8
61,fusion,fusion_avg,0.745576,0.519118,0.839442,3,8
62,solar,solar_avg,0.592521,0.493782,0.680262,3,8
62,nuclear,nuclear_avg,0.696248,0.458641,0.779784,3,8
62,fusion,fusion_avg,0.722063,0.515327,0.803497,3,8
63,solar,solar_avg,0.596163,0.496037,0.684663,3,8
63,nuclear,nuclear_avg,0.695963,0.458193,0.785741,3,8
63,fusion,fusion_avg,0.724660,0.511634,0.811418,3,8
64,solar,solar_avg,0.622455,0.514170,0.702646,3,8
64,nuclear,nuclear_avg,0.725623,0.489011,0.800635,3,8
64,fusion,fusion_avg,0.753415,0.644743,0.827494,3,8
65,solar,solar_avg,0.610086,0.496255,0.710148,3,8
65,nuclear,nuclear_avg,0.719324,0.468072,0.810506,3,8
65,fusion,fusion_avg,0.746523,0.641930,0.835718,3,8
66,solar,solar_avg,0.610102,0.522004,0.711418,3,8
66,nuclear,nuclear_avg,0.718264,0.498902,0.812168,3,8
66,fusion,fusion_avg,0.746566,0.665393,0.837993,3,8
67,solar,solar_avg,0.610110,0.497578,0.729742,3,8
67,nuclear,nuclear_avg,0.720306,0.474302,0.830296,3,8
67,fusion,fusion_avg,0.748276,0.643482,0.854692,3,8
68,solar,solar_avg,0.610501,0.516738,0.711969,3,8
68,nuclear,nuclear_avg,0.719565,0.495104,0.812683,3,8
68,fusion,fusion_avg,0.747746,0.655075,0.837483,3,8
69,solar,solar_avg,0.592271,0.492919,0.694830,3,8
69,nuclear,nuclear_avg,0.696179,0.404966,0.797165,3,8
69,fusion,fusion_avg,0.724348,0.631582,0.821010,3,8
70,solar,solar_avg,0.592986,0.496217,0.678416,3,8
70,nuclear,nuclear_avg,0.696364,0.408061,0.779633,3,8
70,fusion,fusion_avg,0.723220,0.634553,0.804801,3,8
71,solar,solar_avg,0.616605,0.516653,0.718534,3,8
71,nuclear,nuclear_avg,0.721275,0.552944,0.818163,3,8
71,fusion,fusion_avg,0.748069,0.651431,0.842500,3,8
72,solar,solar_avg,0.616060,0.501646,0.711002,3,8
72,nuclear,nuclear_avg,0.726491,0.503115,0.812347,3,8
72,fusion,fusion_avg,0.752368,0.634162,0.836785,3,8
